SongID,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_emb_1,genre_emb_2,genre_emb_3,genre_emb_4,genre_emb_5,genre_emb_6,genre_emb_7,genre_emb_8,genre_emb_9,genre_emb_10,genre_emb_11,genre_emb_12,genre_emb_13,genre_emb_14,genre_emb_15,genre_emb_16,first_week,last_week,peak_position,weeks_on_chart,hit
Big ManThe Four Preps,143266.0,0,0.523,0.509,3.0,-8.451,1.0,0.03,0.914,0.0,0.267,0.789,125.539,4.0,0.7772417,0.25838667,-0.9704973,0.29436028,0.12549776,-0.19241692,-0.32368314,1.4948467,0.8547975,0.39780694,-0.32787478,0.45874858,-1.5844222,-0.82231355,-0.20694558,-0.35762882,1958-08-02,1958-08-02,67,1,0
Volare (Nel Blu Dipinto Di Blu)Dean Martin,142000.0,0,0.4089999999999999,0.406,7.0,-10.826,1.0,0.0663,0.823,0.0,0.496,0.551,147.585,3.0,0.3656875,-0.11252711,-0.23825003,0.8090256,-0.13842818,-0.09268276,-0.96892565,-0.8451697,-0.0098929005,0.19876319,0.20889358,-0.42997396,1.0619019,-0.88912445,-0.47613147,-0.70217985,1958-08-02,1958-10-25,15,13,0
You're Making A MistakeThe Platters,164600.0,0,0.465,0.245,10.0,-11.232,1.0,0.029,0.929,0.0,0.182,0.35,133.432,4.0,-0.15634686,-0.4001053,-0.24305263,0.29329634,0.28659657,-0.0917174,-0.46459946,-0.3492579,-0.46082076,-0.29288602,-0.26081356,0.64247596,0.579773,-0.49913535,0.34707397,-0.22658794,1958-08-02,1958-08-16,65,3,0
My True LoveJack Scott,165026.0,0,0.548,0.253,4.0,-11.387,1.0,0.0279,0.871,9.9e-05,0.138,0.2379999999999999,68.184,3.0,-0.7929876,-0.9361118,-0.3247028,-0.13958599,1.167892,0.18044075,0.5423382,0.8932703,-0.31896263,-0.043085318,-0.804547,0.986811,-0.5011098,-0.113188356,0.044636935,0.022664636,1958-08-02,1958-11-01,3,14,0
Johnny B. GoodeChuck Berry,161560.0,0,0.534,0.803,10.0,-9.129,1.0,0.0743,0.7409999999999999,6.1e-05,0.307,0.969,167.983,4.0,-0.84105426,-0.9543327,-0.36538592,-0.5796949,0.3617159,0.6632806,0.9000745,0.4854328,-0.81248665,-0.06097423,-0.42499533,0.40294924,-0.29390222,-0.29960555,-0.52148557,-0.3521047,1958-08-02,1958-08-02,80,1,0
Everybody Loves A LoverDoris Day,160466.0,0,0.8339999999999999,0.2839999999999999,3.0,-13.497,1.0,0.1019999999999999,0.657,2e-06,0.0676,0.684,92.224,4.0,0.1100587,-0.31416422,-0.18910798,0.6548479,-0.28103042,-0.10599794,-0.1321783,-0.5650238,0.0062095164,0.18715906,-0.109216906,-0.013877427,0.03206563,-0.23763366,-0.13688035,-0.04431054,1958-08-02,1958-10-18,14,12,0
Come What MayClyde McPhatter,101946.0,0,0.689,0.749,0.0,-8.983,0.0,0.166,0.8439999999999999,0.0,0.097,0.959,93.71,4.0,-0.57032645,-0.62355477,-0.38614488,-0.15755358,0.8923811,0.116648816,0.32603258,0.27417478,-0.37420174,-0.25684327,-0.38350847,0.8341653,-0.08012464,0.1315768,-0.047048427,-0.30448145,1958-08-02,1958-08-16,43,3,0
Fool's ParadiseThe Crickets,150626.0,0,0.538,0.7439999999999999,5.0,-5.18,1.0,0.0278,0.123,0.0,0.459,0.96,141.928,4.0,-0.629751,-0.7538882,-0.017911172,0.13448393,0.9239796,0.09649952,0.2851569,-0.020060431,-0.22674747,-0.34477395,-0.41048938,0.52890366,0.30706388,-0.4874661,0.25651675,-0.39225686,1958-08-02,1958-08-02,58,1,0
Little StarThe Elegants,162773.0,0,0.4079999999999999,0.397,9.0,-12.536,1.0,0.03,0.873,0.0,0.28,0.697,72.61499999999998,4.0,0.2494613,0.57915616,-0.50547737,0.46185163,0.3660517,-0.085233636,-0.5745819,0.03137636,-1.1639,-0.07600828,0.341179,0.14860292,0.6533015,0.39154628,-0.64951503,-1.0232886,1958-08-02,1958-11-22,1,17,1
Early In The MorningBuddy Holly,125920.0,0,0.7089999999999999,0.698,0.0,-9.249,1.0,0.105,0.385,0.0,0.0555,0.963,110.721,4.0,0.35176188,-0.31039938,-0.5775238,0.65203094,-0.20807362,-0.5705977,0.023824483,-0.47990498,0.1879641,-0.18202385,0.05360024,0.36626086,0.60904753,-0.23189935,0.029449547,0.08016735,1958-08-02,1958-09-13,32,7,0
