index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
11790,I'll Meet You HalfwayThe Partridge Family Starring Shirley Jones Featuring David Cassidy,The Partridge Family Starring Shirley Jones Featuring David Cassidy,I'll Meet You Halfway,,,,,,,,,,,,,,,,,,,
11791,I'll Name The DogsBlake Shelton,Blake Shelton,I'll Name The Dogs,"['contemporary country', 'country', 'country road', 'oklahoma country']",609qKv3KPAbdtp0LQH2buA,https://p.scdn.co/mp3-preview/8fb6fdb65667a16f293505522d67983b96f8f4f8?cid=b8d3901151d34489a160e3cf0ab1fa94,183640.0,False,Texoma Shore,0.3479999999999999,0.87,4.0,-5.86,1.0,0.137,0.171,4e-06,0.202,0.763,83.39199999999998,4.0,69.0
11792,I'll Never Be FreeKay Starr,Kay Starr,I'll Never Be Free,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",0KnD456yC5JuweN932Ems3,,158000.0,False,Vintage Collections,0.697,0.182,7.0,-12.586,1.0,0.0357,0.78,0.0,0.126,0.4739999999999999,82.18399999999998,3.0,15.0
11793,I'll Never Break Your HeartBackstreet Boys,Backstreet Boys,I'll Never Break Your Heart,"['boy band', 'dance pop', 'pop']",4lq4yY0y3XqDQZsx03ITaH,https://p.scdn.co/mp3-preview/20d6f33c4f8c9f9195e7eb8ab14b64a43a57dbea?cid=b8d3901151d34489a160e3cf0ab1fa94,287506.0,False,Backstreet Boys,0.519,0.5889999999999999,7.0,-6.005,0.0,0.029,0.0884999999999999,0.0,0.153,0.341,161.992,3.0,53.0
11794,I'll Never Dance AgainBobby Rydell,Bobby Rydell,I'll Never Dance Again,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']",5fxChRcnmyk2en0r5YMF6E,,149360.0,False,The Best Of Bobby Rydell,0.5949999999999999,0.468,0.0,-5.49,1.0,0.0269,0.7349999999999999,0.0,0.385,0.547,104.909,4.0,44.0
11795,I'll Never Do You WrongJoe Tex,Joe Tex,I'll Never Do You Wrong,[],6hG59WXc951utGHcrbhr4V,https://p.scdn.co/mp3-preview/e7107740c0fb9cf4a947ed42ea732e68c54386c5?cid=b8d3901151d34489a160e3cf0ab1fa94,188920.0,False,The Very Best o,0.7249999999999999,0.4859999999999999,6.0,-9.154000000000002,0.0,0.0281,0.273,0.0,0.0997,0.7439999999999999,78.58499999999998,4.0,20.0
11796,I'll Never Fall In Love AgainBurt Bacharach,Burt Bacharach,I'll Never Fall In Love Again,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",5aYR2yKYdcWxX7gAO2CYps,https://p.scdn.co/mp3-preview/3fb82b62a84604e81c28870d6af5414ea8931df5?cid=b8d3901151d34489a160e3cf0ab1fa94,200000.0,False,Austin Powers: The Spy Who Shagged Me Sndtrk,0.637,0.46,5.0,-9.063,1.0,0.0344,0.512,0.00278,0.1429999999999999,0.446,125.836,4.0,48.0
11797,I'll Never Fall In Love AgainDionne Warwick,Dionne Warwick,I'll Never Fall In Love Again,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",1MHgV79MSYE6ymNlGa3bRY,https://p.scdn.co/mp3-preview/4411e3b1832f33f6a35c7dc01769cd6a5fd51b9b?cid=b8d3901151d34489a160e3cf0ab1fa94,174840.0,False,I'll Never Fall In Love Again,0.676,0.339,1.0,-13.805,1.0,0.0509,0.7169999999999999,1e-05,0.109,0.756,136.882,4.0,59.0
11798,I'll Never Fall In Love AgainJohnnie Ray,Johnnie Ray,I'll Never Fall In Love Again,"['adult standards', 'brill building pop', 'deep adult standards', 'lounge', 'rock-and-roll']",,,,,,,,,,,,,,,,,,
11799,I'll Never Fall In Love AgainTom Jones,Tom Jones,I'll Never Fall In Love Again,"['adult standards', 'british invasion', 'mellow gold']",6jkBBKZAwgaIYCNg9raBOa,,251093.0,False,The Best Of ... Tom Jones,0.338,0.3489999999999999,4.0,-11.439,1.0,0.0287,0.767,7.3e-05,0.11,0.3449999999999999,147.441,3.0,44.0
